Name	Read1_1	Read2_1
Donor_3_TNFAIP3_D8	JFAM15/Donor_3_TNFAIP3_D8_S59_L002_R1_001.fastq.gz	JFAM15/Donor_3_TNFAIP3_D8_S59_L002_R2_001.fastq.gz
Donor_3_YY1_D10	JFAM15/Donor_3_YY1_D10_S61_L002_R1_001.fastq.gz	JFAM15/Donor_3_YY1_D10_S61_L002_R2_001.fastq.gz
Donor_3_ZNF217_D2	JFAM15/Donor_3_ZNF217_D2_S53_L002_R1_001.fastq.gz	JFAM15/Donor_3_ZNF217_D2_S53_L002_R2_001.fastq.gz
Donor_4_AAVS1_1_H7	JFAM15/Donor_4_AAVS1_1_H7_S106_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_1_H7_S106_L002_R2_001.fastq.gz
Donor_4_AAVS1_2_F7	JFAM15/Donor_4_AAVS1_2_F7_S82_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_2_F7_S82_L002_R2_001.fastq.gz
Donor_4_AAVS1_3_H2	JFAM15/Donor_4_AAVS1_3_H2_S101_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_3_H2_S101_L002_R2_001.fastq.gz
Donor_4_AAVS1_4_F5	JFAM15/Donor_4_AAVS1_4_F5_S80_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_4_F5_S80_L002_R2_001.fastq.gz
Donor_4_AAVS1_5_G11	JFAM15/Donor_4_AAVS1_5_G11_S98_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_5_G11_S98_L002_R2_001.fastq.gz
Donor_4_AAVS1_6_G8	JFAM15/Donor_4_AAVS1_6_G8_S95_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_6_G8_S95_L002_R2_001.fastq.gz
Donor_4_AAVS1_7_G3	JFAM15/Donor_4_AAVS1_7_G3_S90_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_7_G3_S90_L002_R2_001.fastq.gz
Donor_4_AAVS1_8_G1	JFAM15/Donor_4_AAVS1_8_G1_S88_L002_R1_001.fastq.gz	JFAM15/Donor_4_AAVS1_8_G1_S88_L002_R2_001.fastq.gz
Donor_4_ATXN7L3_H9	JFAM15/Donor_4_ATXN7L3_H9_S108_L002_R1_001.fastq.gz	JFAM15/Donor_4_ATXN7L3_H9_S108_L002_R2_001.fastq.gz
Donor_4_CBFB_H12	JFAM15/Donor_4_CBFB_H12_S111_L002_R1_001.fastq.gz	JFAM15/Donor_4_CBFB_H12_S111_L002_R2_001.fastq.gz
Donor_4_ETS1_H10	JFAM15/Donor_4_ETS1_H10_S109_L002_R1_001.fastq.gz	JFAM15/Donor_4_ETS1_H10_S109_L002_R2_001.fastq.gz
Donor_4_FOXK1_F12	JFAM15/Donor_4_FOXK1_F12_S87_L002_R1_001.fastq.gz	JFAM15/Donor_4_FOXK1_F12_S87_L002_R2_001.fastq.gz
Donor_4_FOXP1_G12	JFAM15/Donor_4_FOXP1_G12_S99_L002_R1_001.fastq.gz	JFAM15/Donor_4_FOXP1_G12_S99_L002_R2_001.fastq.gz
Donor_4_GATA3_F9	JFAM15/Donor_4_GATA3_F9_S84_L002_R1_001.fastq.gz	JFAM15/Donor_4_GATA3_F9_S84_L002_R2_001.fastq.gz
Donor_4_HIVEP2_G9	JFAM15/Donor_4_HIVEP2_G9_S96_L002_R1_001.fastq.gz	JFAM15/Donor_4_HIVEP2_G9_S96_L002_R2_001.fastq.gz
Donor_4_IL2RA_H1	JFAM15/Donor_4_IL2RA_H1_S100_L002_R1_001.fastq.gz	JFAM15/Donor_4_IL2RA_H1_S100_L002_R2_001.fastq.gz
Donor_4_IRF1_H4	JFAM15/Donor_4_IRF1_H4_S103_L002_R1_001.fastq.gz	JFAM15/Donor_4_IRF1_H4_S103_L002_R2_001.fastq.gz
Donor_4_IRF2_G10	JFAM15/Donor_4_IRF2_G10_S97_L002_R1_001.fastq.gz	JFAM15/Donor_4_IRF2_G10_S97_L002_R2_001.fastq.gz
Donor_4_IRF4_H11	JFAM15/Donor_4_IRF4_H11_S110_L002_R1_001.fastq.gz	JFAM15/Donor_4_IRF4_H11_S110_L002_R2_001.fastq.gz
Donor_4_JAK3_H3	JFAM15/Donor_4_JAK3_H3_S102_L002_R1_001.fastq.gz	JFAM15/Donor_4_JAK3_H3_S102_L002_R2_001.fastq.gz
Donor_4_KLF2_F8	JFAM15/Donor_4_KLF2_F8_S83_L002_R1_001.fastq.gz	JFAM15/Donor_4_KLF2_F8_S83_L002_R2_001.fastq.gz
Donor_4_KMT2A_H6	JFAM15/Donor_4_KMT2A_H6_S105_L002_R1_001.fastq.gz	JFAM15/Donor_4_KMT2A_H6_S105_L002_R2_001.fastq.gz
Donor_4_MBD2_H8	JFAM15/Donor_4_MBD2_H8_S107_L002_R1_001.fastq.gz	JFAM15/Donor_4_MBD2_H8_S107_L002_R2_001.fastq.gz
Donor_4_MED12_H5	JFAM15/Donor_4_MED12_H5_S104_L002_R1_001.fastq.gz	JFAM15/Donor_4_MED12_H5_S104_L002_R2_001.fastq.gz
Donor_4_MYB_G5	JFAM15/Donor_4_MYB_G5_S92_L002_R1_001.fastq.gz	JFAM15/Donor_4_MYB_G5_S92_L002_R2_001.fastq.gz
Donor_4_PTEN_F11	JFAM15/Donor_4_PTEN_F11_S86_L002_R1_001.fastq.gz	JFAM15/Donor_4_PTEN_F11_S86_L002_R2_001.fastq.gz
Donor_4_RELA_F6	JFAM15/Donor_4_RELA_F6_S81_L002_R1_001.fastq.gz	JFAM15/Donor_4_RELA_F6_S81_L002_R2_001.fastq.gz
Donor_4_STAT5A_G7	JFAM15/Donor_4_STAT5A_G7_S94_L002_R1_001.fastq.gz	JFAM15/Donor_4_STAT5A_G7_S94_L002_R2_001.fastq.gz
Donor_4_STAT5B_G2	JFAM15/Donor_4_STAT5B_G2_S89_L002_R1_001.fastq.gz	JFAM15/Donor_4_STAT5B_G2_S89_L002_R2_001.fastq.gz
Donor_4_TNFAIP3_G4	JFAM15/Donor_4_TNFAIP3_G4_S91_L002_R1_001.fastq.gz	JFAM15/Donor_4_TNFAIP3_G4_S91_L002_R2_001.fastq.gz
Donor_4_YY1_G6	JFAM15/Donor_4_YY1_G6_S93_L002_R1_001.fastq.gz	JFAM15/Donor_4_YY1_G6_S93_L002_R2_001.fastq.gz
Donor_4_ZNF217_F10	JFAM15/Donor_4_ZNF217_F10_S85_L002_R1_001.fastq.gz	JFAM15/Donor_4_ZNF217_F10_S85_L002_R2_001.fastq.gz
